4110,14,19,20,21,22,31,11
4111,11,16,18,20,26,31,2
4112,9,13,15,21,26,33,6
4113,8,10,23,25,31,32,7
4114,1,6,9,17,21,22,1
4115,2,16,20,30,31,33,1
4116,1,3,5,8,14,33,3
4117,1,3,7,14,24,25,7
4118,3,4,7,12,30,31,15
4119,6,9,18,20,25,33,6
4120,7,8,18,21,27,32,10
4121,7,13,16,18,30,32,10
4122,3,11,14,22,24,31,15
5001,1,7,8,23,27,28,14
5002,6,9,20,26,28,33,14
5003,9,12,15,19,22,31,16
5004,1,4,8,9,22,23,3
5005,5,9,20,26,28,33,15
5006,2,4,5,15,21,31,16
5007,7,15,17,20,23,33,15
5008,11,19,22,27,32,33,11
5009,2,17,22,27,29,31,14
5010,8,10,11,18,25,26,1
5011,9,11,13,15,22,30,15
5012,2,3,6,16,22,31,5
5013,7,8,16,19,20,24,6
5014,13,19,21,23,30,32,5
5015,4,8,9,16,17,29,15
5016,1,5,6,12,16,30,15
5017,2,6,10,25,27,31,3
5018,1,3,6,22,23,25,6
5019,6,11,12,13,19,22,8
5020,14,16,19,20,25,29,5
5021,2,6,24,26,30,31,16
5022,8,10,12,21,32,33,4
5023,10,15,19,20,21,25,12
5024,5,9,14,27,31,32,13
5025,1,7,10,11,13,32,7
5026,6,12,14,20,25,26,7
5027,1,3,4,6,21,32,15
5028,4,9,22,25,26,32,10
5029,2,14,21,22,27,30,14
5030,1,5,9,14,22,28,5
5031,4,10,16,20,23,32,7
5032,5,15,19,20,25,29,3
5033,7,8,12,14,19,20,7
5034,5,17,18,25,28,32,9
5035,12,16,21,28,29,30,14
5036,12,19,20,21,26,31,15
5037,7,12,14,22,24,32,16
5038,4,7,11,20,27,28,16
5039,2,16,18,19,21,29,9
5040,1,12,21,24,30,32,13
5041,2,11,16,23,24,29,3
5042,11,16,21,26,27,30,15
5043,4,5,6,7,8,32,5
5044,1,6,16,17,18,22,9
5045,1,7,10,15,18,20,10
5046,9,16,18,20,22,24,5
5047,2,3,5,7,8,27,15
5048,6,7,8,10,16,28,2
5049,2,3,8,10,25,27,12
5050,2,9,12,20,26,32,13
5051,3,6,14,19,20,21,2
5052,1,2,14,17,30,32,1
5053,4,7,10,14,27,29,9
5054,5,13,17,18,21,29,14
5055,5,20,22,30,32,33,9
5056,12,17,19,27,29,31,9
5057,5,6,10,15,30,31,13
5058,4,6,10,21,25,26,10
5059,7,11,14,18,24,29,7
5060,9,12,21,25,31,33,13
5061,5,9,14,21,23,24,1
5062,2,7,11,12,20,23,7
5063,2,11,13,18,22,30,4
5064,10,18,23,27,30,32,8
5065,12,16,17,21,22,23,16
5066,2,4,10,11,25,28,5
5067,3,12,16,20,21,26,16
5068,1,8,10,13,25,33,13
5069,7,9,21,24,31,33,12
5070,3,4,8,14,16,26,4
5071,4,8,12,14,16,22,10
5072,6,10,19,20,24,33,11
5073,1,6,8,9,18,20,1
5074,6,9,18,20,26,29,9
5075,11,13,14,16,18,31,14
5076,4,9,11,22,25,28,13
5077,8,17,22,24,32,33,16
5078,3,11,15,20,26,32,11
5079,3,9,20,24,25,28,5
5080,1,12,14,26,27,32,16
5081,2,4,10,12,26,30,3
5082,1,7,11,14,19,20,12
5083,3,5,9,14,16,30,13
5084,1,2,7,15,19,20,3
5085,8,9,13,14,20,22,12
5086,7,11,12,24,27,29,12
5087,8,9,15,16,23,26,8
5088,1,3,7,18,20,24,7
5089,5,19,20,23,26,31,12
5090,1,9,21,25,29,32,3
5091,1,11,12,15,26,27,13
5092,8,13,19,26,28,31,10
5093,4,6,17,23,25,29,14
5094,3,5,9,23,27,33,3
5095,9,12,18,21,28,29,5
5096,4,5,17,18,26,33,4
5097,5,10,23,27,28,30,15
5098,12,15,19,22,31,33,1
5099,10,13,16,22,24,31,9
5100,2,4,9,14,16,31,3
5101,9,16,19,21,22,24,12
5102,2,5,6,14,24,31,12
5103,4,7,16,18,23,30,7
5104,2,4,21,23,30,33,9
5105,4,15,23,30,32,33,3
5106,1,11,13,24,26,31,13
5107,9,10,20,24,25,26,11
5108,3,10,12,24,29,30,6
5109,3,5,13,15,17,31,4
5110,7,10,16,19,24,25,9
5111,3,7,15,16,19,29,9
5112,4,12,22,28,29,30,16
5113,15,18,20,22,26,27,3
5114,6,7,10,15,21,27,6
5115,3,12,18,23,30,33,2
5116,4,6,8,14,15,30,10
5117,6,17,22,27,28,32,3
5118,4,9,12,15,26,31,16
5119,1,7,11,18,20,22,2
5120,1,6,13,18,30,32,14
5121,1,7,20,25,31,32,12
5122,1,4,7,14,30,32,9
5123,11,12,13,17,18,25,7
5124,5,6,10,19,31,33,11
5125,6,14,18,28,31,32,3
5126,2,8,13,19,25,26,9
5127,4,6,11,14,23,25,12
5128,2,4,14,23,29,33,15
5129,5,10,14,20,27,33,3
5130,3,5,9,15,20,25,16
5131,2,7,10,11,12,24,3
5132,2,4,10,18,27,29,15
5133,1,7,14,16,18,25,11
5134,4,13,14,18,26,30,1
5135,1,5,13,15,21,25,11
5136,5,14,16,18,25,27,13
5137,3,9,15,23,25,33,12
5138,3,5,6,11,20,22,13
5139,2,7,20,23,32,33,10
5140,4,6,7,8,12,17,7
5141,3,5,8,12,16,19,15
5142,7,10,12,17,22,29,5
